                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9586,                 3.6881,                 2.1891,                0.00347,                      1,                0.35575,                0.11563,                 1.1978,                 3.7987,                 1.7887,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.7024,                 3.4402,                 1.9392,                0.00346,                      1,                 0.6243,                 0.2053,                 1.2001,                 3.6956,                 1.6173,             4.9845e-05,             4.9845e-05,             4.9845e-05
                      3,                 1.4985,                 3.3988,                 1.8122,                0.00349,                      1,                0.84979,                0.40324,                0.99848,                 3.5639,                 1.3941,               8.28e-05,               8.28e-05,               8.28e-05
                      4,                 1.2254,                 3.0074,                 1.4583,                0.00352,                      1,                0.80844,                0.67542,                0.77393,                    3.3,                 1.1201,             0.00011553,             0.00011553,             0.00011553
                      5,                  1.152,                 2.8715,                 1.3592,                0.00345,                      1,                0.80844,                0.55757,                0.86217,                 3.2693,                 1.0966,             0.00014805,             0.00014805,             0.00014805
                      6,                 1.0279,                 2.5126,                 1.3125,                0.00342,                      1,                0.80844,                0.51571,                0.90274,                 3.1708,                  1.137,             0.00018034,             0.00018034,             0.00018034
                      7,                0.98498,                 2.0255,                 1.1847,                0.00338,                      1,                0.80844,                0.60236,                 0.9214,                 2.9634,                 1.1529,             0.00021242,             0.00021242,             0.00021242
                      8,                 1.0912,                 1.7467,                 1.2323,                0.96904,                    0.5,                0.80844,                0.65707,                0.73186,                 2.8723,                 1.1087,             0.00024427,             0.00024427,             0.00024427
                      9,                 1.0049,                  1.571,                 1.2004,                0.94514,                    0.5,                0.80844,                0.66889,                0.71138,                 2.8796,                  1.147,             0.00027591,             0.00027591,             0.00027591
                     10,                 1.0213,                 1.4875,                 1.1607,                0.90988,                    0.6,                  0.845,                0.68939,                0.77823,                   2.95,                 1.1504,             0.00030732,             0.00030732,             0.00030732
                     11,                0.87947,                 1.4192,                 1.1343,                0.00335,                      1,                  0.845,                0.64073,                0.97242,                 3.0637,                 1.2122,             0.00033852,             0.00033852,             0.00033852
                     12,                0.82146,                 1.2199,                 1.0103,                0.00334,                      1,                0.82198,                0.56622,                 1.1787,                 3.2476,                 1.2872,             0.00036949,             0.00036949,             0.00036949
                     13,                0.94232,                 1.3978,                 1.1433,                0.00304,                    0.9,                0.71619,                0.51507,                 1.3206,                 3.3085,                 1.4868,             0.00040025,             0.00040025,             0.00040025
